"","id","lon","lat","ifa","type"
"99",220510006,72.4684236,24.5556373,"0","sub centre"
"100",220510007,72.3388268,24.6445985,"0","sub centre"
"101",220510008,72.3549935,24.6787275,"1","sub centre"
"102",220510009,72.3549935,24.6787275,"1","sub centre"
"103",220510010,72.5063107,24.511546,"0","sub centre"
"104",2205210,72.5230808,24.6202576,"0","sub centre"
"105",220110001,72.9762285,25.08185,"0","PHC-CHC"
"106",220110002,73.0417546,25.1395099,"1","PHC-CHC"
"107",220110003,72.8244639,25.1854859,"1","PHC-CHC"
"108",220110004,72.8856166,25.0034036,"1","PHC-CHC"
"109",220110005,72.8856166,25.0034036,"1","PHC-CHC"
"110",2201201,73.0417546,25.1395099,"1","PHC-CHC"
"111",220210001,72.6780564,24.9218592,"1","PHC-CHC"
"112",220210002,72.61258,24.8906015,"0","PHC-CHC"
"113",220210003,72.5162744,24.7948089,"1","PHC-CHC"
"114",220210004,72.6965441,24.9346036,"1","PHC-CHC"
"115",220210005,72.61258,24.8906015,"0","PHC-CHC"
"116",220210006,72.7146917,24.9936528,"1","PHC-CHC"
"117",220210007,72.6965441,24.9346036,"1","PHC-CHC"
"118",2202202,72.8574045,24.8841051,"1","PHC-CHC"
"119",2202203,72.8574045,24.8841051,"1","PHC-CHC"
"120",220310001,73.0460692,24.7991814,"1","PHC-CHC"
"121",220310002,73.0304661,24.8203689,"1","PHC-CHC"
"122",220310003,72.9571367,24.7897734,"1","PHC-CHC"
"123",220310004,73.0460692,24.7991814,"1","PHC-CHC"
"124",220310005,72.9092528,24.6549805,"1","PHC-CHC"
"125",220310006,72.8793525,24.5597995,"1","PHC-CHC"
"126",220310007,72.974646,24.8424274,"0","PHC-CHC"
"127",220310008,72.9571367,24.7897734,"1","PHC-CHC"
"128",220310009,72.8793525,24.5597995,"1","PHC-CHC"
"129",220310010,73.0304661,24.8203689,"1","PHC-CHC"
"130",220310011,72.9416439,24.6144025,"0","PHC-CHC"
"131",220310012,73.0460692,24.7991814,"1","PHC-CHC"
"132",2203204,73.0460692,24.7991814,"1","PHC-CHC"
"133",2203205,73.0460692,24.7991814,"1","PHC-CHC"
"134",2203211,73.0460692,24.7991814,"1","PHC-CHC"
"135",220410001,72.7755502,24.4742905,"1","PHC-CHC"
"136",220410002,72.6333652,24.481333,"1","PHC-CHC"
"137",220410003,72.9098287,24.4071315,"1","PHC-CHC"
"138",220410004,72.6333652,24.481333,"1","PHC-CHC"
"139",220410005,72.7755502,24.4742905,"1","PHC-CHC"
"140",220410006,72.7755502,24.4742905,"1","PHC-CHC"
"141",220410007,72.7755502,24.4742905,"1","PHC-CHC"
"142",2204206,72.7098154,24.5905456,"1","PHC-CHC"
"143",2204207,72.7098154,24.5905456,"1","PHC-CHC"
"144",2204208,72.7755502,24.4742905,"1","PHC-CHC"
"145",2204209,72.7755502,24.4742905,"1","PHC-CHC"
"146",220510001,72.5133705,24.7116422,"1","PHC-CHC"
"147",220510002,72.6845169,24.7272353,"0","PHC-CHC"
"148",220510003,72.5133705,24.7116422,"1","PHC-CHC"
"149",220510004,72.6477702,24.6371429,"1","PHC-CHC"
"150",220510005,72.5230808,24.6202576,"1","PHC-CHC"
"151",220510006,72.5230808,24.6202576,"1","PHC-CHC"
"152",220510007,72.3782998,24.5549931,"1","PHC-CHC"
"153",220510008,72.5133705,24.7116422,"1","PHC-CHC"
"154",220510009,72.5133705,24.7116422,"1","PHC-CHC"
"155",220510010,72.5063107,24.511546,"1","PHC-CHC"
"156",2205210,72.5230808,24.6202576,"1","PHC-CHC"
